# x1,x2,beamstop
3.780112020460357769e+00,7.685964018204245463e-01,-2.596049259106281148e-02
3.780112020460357769e+00,7.685964018204245463e-01,3.713505187381560546e-03
3.780112020460357769e+00,7.685964018204245463e-01,-8.232487986485903519e-03
3.794998014141718556e+00,7.685964018204245463e-01,-6.921251770108938217e-03
3.837174996238907454e+00,7.685964018204245463e-01,-1.669121750940916193e-02
3.890516473597116942e+00,7.685964018204245463e-01,1.871845840165642372e-03
4.015186670678502878e+00,7.685964018204245463e-01,-1.547723077237606049e-02
4.034414412516930781e+00,7.685964018204245463e-01,-4.007721630235883126e-03
4.111945629607347996e+00,7.685964018204245463e-01,-2.884038258343935013e-03
4.234755077478567387e+00,7.685964018204245463e-01,-1.828215317800641060e-02
4.356944275613059858e+00,7.685964018204245463e-01,7.483487327893945107e-03
4.491538468482026758e+00,7.685964018204245463e-01,-1.365025527775287628e-02
4.639157905822180794e+00,7.685964018204245463e-01,-1.083881361410021782e-02
4.840118820520537213e+00,7.685964018204245463e-01,-7.280478409180668464e-03
5.031775989168046692e+00,7.685964018204245463e-01,-4.223152063786983490e-03
5.289179629908232982e+00,7.685964018204245463e-01,-2.146469584355714666e-02
5.461609056717321664e+00,7.685964018204245463e-01,3.733350119242695442e-03
5.699784955619080051e+00,7.685964018204245463e-01,-5.610360919187096229e-03
5.973935339250793675e+00,7.685964018204245463e-01,-1.019387273117899895e-02
6.210870738679105330e+00,7.685964018204245463e-01,-4.602114980419846901e-03
6.503008364675800124e+00,7.685964018204245463e-01,-3.867487733563157448e-03
6.710792026478110017e+00,7.685964018204245463e-01,-1.560579209278101231e-02
6.963853919061236297e+00,7.685964018204245463e-01,4.343048203736543655e-03
7.218776560854522018e+00,7.685964018204245463e-01,-5.744929270198317894e-03
7.475559951857981389e+00,7.685964018204245463e-01,-1.817440303663486745e-02
7.747229336542801548e+00,7.685964018204245463e-01,1.793296542018651962e-03
7.977962238603886647e+00,7.685964018204245463e-01,-1.397988526150584221e-02
8.231644380923725635e+00,7.685964018204245463e-01,-6.788212340325117111e-03
8.511997261922672919e+00,7.685964018204245463e-01,-6.577512249350547791e-03
8.739628915300137635e+00,7.685964018204245463e-01,-5.510127327094105354e-03
9.010678050248237980e+00,7.685964018204245463e-01,-7.995338334391144386e-03
9.238929953362422509e+00,7.685964018204245463e-01,4.465016536414623260e-03
9.496333594102608799e+00,7.685964018204245463e-01,-1.149101493259307993e-02
9.733889243267640268e+00,7.685964018204245463e-01,-1.174920083333974574e-02
1.000617887768918735e+01,7.685964018204245463e-01,3.449762395272282234e-03
1.027660776290056077e+01,7.685964018204245463e-01,5.617349719000408470e-04
1.050982166390853223e+01,7.685964018204245463e-01,-9.299997085083777648e-03
1.076536455543854487e+01,7.685964018204245463e-01,-1.270074086884620534e-02
1.099857845644652343e+01,7.685964018204245463e-01,9.342286890993145576e-03
1.126714659244772321e+01,7.685964018204245463e-01,-9.288289584219455719e-03
1.153509447871220317e+01,7.685964018204245463e-01,-2.428383255998256551e-02
